temperature,humidity,rainfall,crop,suitable
31.9,54.78,66.95,sorghum,1
23.52,46.32,61.53,cotton,1
31.53,35.01,31.51,millet,1
22.44,68.93,82.75,soybean,1
40.32,29.86,12.92,sunflower,0
25.64,50.78,87.74,cotton,1
41.88,27.68,0.87,millet,0
23.7,60.61,130.09,maize,1
22.55,45.72,54.98,sunflower,1
7.57,78.7,152.79,groundnut,0
25.44,43.48,64.88,millet,1
13.2,31.53,259.15,cotton,0
7.9,64.15,186.21,cotton,0
41.52,26.37,249.48,sunflower,0
38.25,37.16,10.71,sunflower,0
43.22,25.83,29.47,sunflower,0
10.61,99.35,259.06,sugarcane,0
34.36,34.45,0.0,mustard,0
23.69,53.21,60.32,cotton,1
48.22,23.07,28.58,sorghum,0
12.63,53.85,306.76,groundnut,0
19.59,84.6,192.52,tomato,0
19.32,57.46,60.52,onion,1
20.88,77.01,185.83,sugarcane,1
36.42,33.54,1.37,wheat,0
26.87,60.29,80.72,soybean,1
52.95,69.26,146.36,sugarcane,0
27.91,60.42,81.32,soybean,1
32.57,88.88,213.59,wheat,0
25.91,61.06,78.46,soybean,1
4.24,68.05,151.24,wheat,0
10.79,34.06,252.82,mango,0
18.11,96.8,267.57,banana,0
31.16,37.75,40.28,millet,1
46.41,52.38,45.43,banana,0
23.8,59.88,135.5,maize,1
44.72,47.0,130.06,potato,0
0.54,57.01,111.89,mustard,0
44.4,54.69,32.64,rice,0
25.41,57.83,131.39,maize,1
8.05,74.99,131.34,cotton,0
29.69,45.46,72.58,cotton,1
6.16,99.26,155.31,potato,0
10.57,81.41,87.51,cotton,0
8.41,81.93,165.55,soybean,0
17.75,66.81,77.26,potato,1
25.07,60.04,138.55,maize,1
22.22,30.64,338.45,onion,0
31.21,31.32,0.0,mustard,0
22.73,61.75,39.5,onion,1
38.36,23.99,48.2,cotton,0
29.9,45.73,56.59,sunflower,1
8.95,88.96,180.77,sunflower,0
43.76,89.97,27.11,banana,0
40.23,45.17,10.9,maize,0
24.87,84.66,205.36,sugarcane,1
14.21,69.91,83.66,sorghum,0
34.49,83.91,183.96,banana,1
26.55,60.14,101.03,mango,1
22.33,77.95,173.64,wheat,0
20.65,69.49,42.07,tomato,1
46.01,30.96,2.92,sorghum,0
47.12,63.55,102.03,rice,0
41.41,27.4,1.97,cotton,0
43.22,40.93,149.62,mustard,0
24.75,60.18,117.74,mango,1
18.52,64.27,45.45,onion,1
31.97,59.65,22.11,potato,0
33.08,43.84,39.31,millet,1
9.66,72.49,151.07,groundnut,0
35.02,84.59,13.37,soybean,0
42.83,50.97,93.91,rice,0
16.88,82.73,125.51,groundnut,0
20.21,50.08,65.52,sunflower,1
44.92,56.91,80.05,sugarcane,0
23.9,72.31,312.44,millet,0
26.95,55.46,133.93,maize,1
44.76,56.27,207.81,tomato,0
29.55,53.07,74.27,sorghum,1
43.53,37.39,34.29,groundnut,0
4.59,74.92,164.82,onion,0
36.77,27.26,270.69,soybean,0
18.17,46.07,40.21,wheat,1
14.99,71.23,150.85,cotton,0
24.24,60.24,117.35,maize,1
41.64,53.32,36.83,banana,0
16.99,69.28,96.56,potato,1
35.49,26.23,22.82,sunflower,0
29.86,50.98,83.58,sorghum,1
11.51,100.34,273.33,rice,0
39.9,43.12,2.08,groundnut,0
37.62,34.67,28.86,sunflower,0
22.21,50.84,46.82,wheat,1
41.72,30.12,285.99,banana,0
41.29,30.84,74.99,maize,0
18.32,51.2,72.16,wheat,1
25.68,62.71,124.93,maize,1
41.85,98.32,11.88,onion,0
27.2,83.08,205.95,banana,1
45.97,38.68,19.98,cotton,0
19.48,63.92,118.3,maize,1
10.76,71.43,197.61,maize,0
34.2,92.88,224.78,cotton,0
32.1,79.29,191.02,sugarcane,1
29.94,79.54,206.8,banana,1
43.79,35.13,3.92,sunflower,0
42.97,54.46,25.01,soybean,0
5.38,81.78,198.06,maize,0
31.8,51.85,102.5,mustard,0
48.58,17.77,9.1,millet,0
22.8,59.57,133.43,maize,1
25.64,52.85,7.07,potato,0
46.78,37.3,19.51,sorghum,0
29.54,71.42,9.19,rice,0
42.87,34.97,18.15,sunflower,0
34.86,95.06,84.42,sunflower,0
34.74,83.66,187.56,sugarcane,1
24.75,61.55,118.25,maize,1
7.24,99.71,76.79,wheat,0
25.09,66.26,52.94,tomato,1
27.7,51.07,98.59,cotton,1
42.34,26.4,225.05,onion,0
26.04,77.64,200.48,banana,1
41.81,17.1,3.8,millet,0
25.33,44.97,12.4,potato,0
25.36,35.25,69.86,millet,1
10.69,38.13,43.87,millet,0
27.86,64.48,93.44,mango,1
36.07,22.74,0.0,mustard,0
17.03,40.63,47.5,mustard,1
15.24,67.53,67.88,potato,1
19.68,45.15,97.54,rice,0
22.69,45.25,29.53,mustard,1
28.29,79.31,180.23,banana,1
20.24,66.32,97.52,soybean,1
25.71,57.34,19.85,potato,0
46.28,16.27,0.82,millet,0
20.72,59.18,36.81,onion,1
41.13,49.27,35.28,soybean,0
27.56,82.97,193.31,banana,1
34.25,80.13,196.45,banana,1
30.12,80.17,203.59,banana,1
19.08,69.48,195.54,cotton,0
26.55,62.99,119.11,mango,1
28.56,38.32,37.93,millet,1
33.09,47.69,88.54,sorghum,1
20.78,45.45,53.78,wheat,1
20.92,44.65,345.46,sorghum,0
15.94,94.33,245.91,banana,0
44.7,36.12,28.34,soybean,0
21.24,50.99,87.87,cotton,1
24.57,58.27,88.1,groundnut,1
28.7,61.14,105.42,soybean,1
29.75,54.64,76.6,groundnut,1
32.48,33.64,332.38,soybean,0
32.03,49.22,59.13,sorghum,1
47.0,57.86,29.44,banana,0
5.15,84.93,145.69,onion,0
18.73,51.18,66.67,wheat,1
31.86,72.26,200.9,rice,1
44.79,57.97,98.2,banana,0
37.47,77.75,211.75,sugarcane,1
24.02,72.11,217.72,rice,1
12.13,69.24,149.38,millet,0
28.61,53.5,67.85,sunflower,1
